full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,DELETE,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,standing_dunk_t,driving_dunk_t,flashy_dunk_t,alley_oop_t,putback_dunk_t,crash_t,driving_layup_t,spin_layup_t,hop_step_layup_t,euro_step_layup_t,floater_t,step_through_shot_t,shot_under_basket_t,shot_close_t,shot_close_left_t,shot_close_middle_t,shot_close_right_t,shot_mid_t,spot_up_shot_mid_t,off_screen_shot_mid_t,shot_3pt_t,spot_up_shot_3pt_t,off_screen_shot_3pt_t,contested_jumper_mid_t,contested_jumper_3pt_t,stepback_jumper_mid_t,stepback_jumper_3pt_t,spin_jumper_t,transition_pull_up_3pt_t,drive_pull_up_3pt_t,drive_pull_up_mid_t,use_glass_t,triple_threat_pump_fake_t,triple_threat_jab_step_t,triple_threat_idle_t,triple_threat_shoot_t,setup_with_sizeup_t,setup_with_hesitation_t,no_setup_dribble_t,drive_t,spot_up_drive_t,off_screen_drive_t,drive_right_t,driving_crossover_t,driving_spin_t,driving_step_back_t,driving_half_spin_t,driving_double_crossover_t,driving_behind_the_back_t,driving_dribble_hesitation_t,driving_in_and_out_t,no_driving_dribble_move_t,attack_strong_on_drive_t,shoot_t,touches_t,roll_vs_pop_t,transition_spot_up_t,iso_vs_elite_defender_t,iso_vs_good_defender_t,iso_vs_average_defender_t,iso_vs_poor_defender_t,play_discipline_t,post_up_t,post_shimmy_shot_t,post_face_up_t,post_back_down_t,post_aggressive_backdown_t,shoot_from_post_t,post_hook_left_t,post_hook_right_t,post_fade_left_t,post_fade_right_t,post_up_and_under_t,post_hop_shot_t,post_step_back_shot_t,post_drive_t,post_spin_t,post_drop_step_t,post_hop_step_t,dish_to_open_man_t,flashy_pass_t,alley_oop_pass_t,pass_interception_t,take_charge_t,on_ball_steal_t,contest_shot_t,block_shot_t,foul_t,hard_foul_t
Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/92,6-2 / 1.88,180 lbs. / 81.6 kg.,"$31,742,000",Australia,2011,1,1,Duke,Kyrie Irving,96,98,96,98,98,98,98,25,30,95,60,35,70,96,95,95,81,47,97,98,89,95,98,90,88,90,28,84,78,74,91,54,82,80,40,74,75,50,69,40,97,0,35,0,25,5,20,80,85,90,95,30,41,39,60,10,33,57,25,65,55,75,90,50,55,70,60,35,30,30,10,20,35,65,65,15,55,80,25,0,85,45,40,75,60,5,25,20,15,20,30,10,0,70,95,95,20,50,40,40,50,60,10,5,0,0,0,0,75,6,2,34,48,5,20,0,25,0,0,0,45,55,75,56,20,54,55,19,45,20
Nikola Jokic,90,#15,Denver Nuggets,C,02/19/95,7-0 / 2.13,253 lbs. / 114.8 kg.,"$27,504,630",Serbia,2014,2,41,,Nikola Jokic,97,90,83,98,84,98,82,85,70,95,94,93,93,95,63,62,63,94,98,95,85,60,65,80,83,96,70,51,79,70,37,73,78,63,58,79,55,90,94,98,94,85,85,5,50,25,10,20,25,10,10,20,0,44,80,14,4,82,25,60,40,40,60,10,60,5,0,0,25,0,0,5,35,5,5,50,0,0,10,35,55,15,75,75,0,0,0,0,0,0,0,0,99,50,75,95,25,0,0,0,10,20,55,75,15,45,25,20,80,51,49,25,9,50,25,0,50,0,35,20,70,30,55,60,20,40,75,35,60,65
Russell Westbrook,90,#0,Houston Rockets,G,11/12/88,6-3 / 1.91,190 lbs. / 86.2 kg.,"$38,506,482",USA,2008,1,4,UCLA,Russell Westbrook,90,86,76,98,84,98,96,30,90,94,73,45,76,98,96,96,92,75,98,98,95,96,91,78,93,95,42,83,86,85,87,85,94,76,51,86,85,45,90,60,94,0,85,85,50,10,45,75,75,70,70,40,36,46,50,9,32,59,45,60,50,40,70,40,85,70,60,25,40,12,10,40,65,65,95,5,40,10,35,30,90,60,60,75,85,40,35,20,10,35,70,50,80,90,99,99,30,0,45,45,55,65,5,20,0,0,32,25,15,0,0,33,39,10,25,5,55,25,0,0,45,45,85,75,20,65,75,20,50,35
Klay Thompson,89,#11,Golden State Warriors,G,02/08/90,6-6 / 1.98,205 lbs. / 93 kg.,"$32,742,000",USA,2011,1,11,Washington State,Klay Thompson,90,96,98,95,87,98,88,35,65,79,68,35,78,90,82,82,87,59,95,85,95,78,76,77,38,80,64,96,95,90,95,92,92,89,52,91,95,56,59,85,97,40,80,45,15,15,25,45,40,60,55,40,79,23,50,4,51,45,65,74,52,99,70,58,55,35,50,5,30,5,4,11,15,15,5,55,25,20,20,60,75,75,75,47,35,20,50,25,0,15,25,10,70,65,80,78,0,55,2,25,37,74,2,0,0,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0,58,25,20,76,72,74,74,52,58,35
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/95,6-11 / 2.11,248 lbs. / 112.5 kg.,"$27,285,000",USA,2015,1,1,Kentucky,Karl-Anthony Towns,94,87,93,98,90,98,85,95,85,90,95,86,84,98,78,78,85,90,98,98,82,68,65,60,65,72,74,50,79,74,68,60,81,41,89,81,60,82,91,85,93,100,95,85,50,35,5,10,0,0,0,20,52,45,50,23,20,57,10,60,35,35,85,30,60,30,10,0,5,0,0,0,25,95,95,0,40,5,5,0,50,55,55,75,0,0,0,0,0,0,0,0,99,75,70,99,55,0,5,5,15,25,25,70,15,25,35,10,80,60,65,23,31,30,10,65,55,35,15,15,35,15,0,45,40,30,80,45,70,70
Jimmy Butler,88,#22,Miami Heat,G,09/14/89,6-7 / 2.01,220 lbs. / 99.8 kg.,"$32,742,000",USA,2011,1,30,Marquette,Jimmy Butler,95,87,93,50,86,95,97,40,85,90,72,49,82,93,90,90,88,65,95,97,80,86,86,85,75,84,70,96,95,90,98,95,90,97,53,89,95,54,51,25,97,15,100,100,95,10,25,50,45,40,35,45,76,46,45,7,25,68,20,50,50,30,80,25,75,30,75,10,35,0,0,30,5,5,85,5,5,5,5,15,75,65,65,75,55,25,20,0,0,15,30,0,65,75,65,90,20,20,30,30,40,50,35,20,5,25,15,5,60,0,15,30,30,45,20,20,35,15,5,5,45,25,20,80,20,70,80,20,35,65
Rudy Gobert,88,#27,Utah Jazz,C,06/26/92,7-1 / 2.16,238 lbs. / 108 kg.,"$25,258,427",France,2013,1,27,,Rudy Gobert,84,60,25,98,69,85,76,95,75,91,79,79,55,98,60,60,74,95,97,87,80,39,32,25,35,55,97,61,97,95,62,88,94,57,96,97,97,94,95,50,92,100,95,45,95,45,5,70,0,0,0,5,0,89,20,38,11,51,0,10,0,0,25,0,0,0,0,0,0,0,0,0,25,5,5,50,0,0,0,0,60,75,65,95,0,0,0,0,0,0,0,0,99,40,50,65,99,0,0,0,5,15,99,10,0,0,35,0,90,21,23,7,0,5,0,0,50,35,35,50,15,5,0,45,0,25,75,80,60,25
Blake Griffin,88,#23,Detroit Pistons,F,03/16/89,6-9 / 2.06,252 lbs. / 114.3 kg.,"$34,449,964",USA,2009,1,1,Oklahoma,Blake Griffin,96,94,85,80,84,98,78,98,98,88,92,86,89,91,85,84,97,94,98,90,90,74,79,72,72,74,85,60,85,71,68,84,86,69,88,72,85,94,95,30,97,90,90,99,100,75,90,40,55,35,25,5,71,45,65,11,47,42,45,60,45,10,20,20,50,50,50,0,0,0,0,5,75,85,90,5,75,10,15,0,65,50,65,75,10,0,0,0,0,0,15,0,95,95,88,99,25,0,0,10,35,75,99,65,10,65,20,20,90,55,55,43,9,35,25,45,45,35,30,30,45,20,80,46,50,54,86,21,53,50
Donovan Mitchell,88,#45,Utah Jazz,G,09/07/96,6-1 / 1.85,211 lbs. / 95.7 kg.,"$3,635,760",USA,2017,1,13,Louisville,Donovan Mitchell,93,96,92,96,85,95,94,50,95,90,38,25,44,80,95,95,98,60,89,90,80,91,86,85,87,88,48,93,92,79,95,92,79,92,47,84,95,37,51,50,95,0,100,95,50,5,35,90,40,25,5,25,0,38,50,7,24,69,15,40,40,75,70,35,40,20,35,5,25,0,5,15,5,35,55,15,0,0,0,0,99,45,65,75,30,15,25,5,0,5,20,40,80,65,85,90,35,40,15,15,25,35,75,0,0,0,0,0,20,4,13,32,19,0,0,0,15,0,0,0,20,40,20,75,10,70,35,25,60,45
Kemba Walker,88,#8,Boston Celtics,G,05/08/90,6-0 / 1.83,172 lbs. / 78 kg.,"$32,742,000",USA,2011,1,9,UConn,Kemba Walker,89,94,93,98,90,98,94,25,30,90,35,28,60,95,90,90,81,50,98,95,85,90,96,87,88,88,42,82,82,78,84,82,75,82,50,75,85,34,54,80,95,0,0,0,25,5,25,65,60,65,30,45,23,44,35,2,19,79,25,55,55,80,85,45,35,85,75,35,25,15,20,30,15,45,85,10,75,25,25,25,80,55,45,75,50,40,60,25,25,35,70,50,90,75,80,95,0,65,10,10,20,30,10,0,0,0,0,0,10,2,4,17,21,0,35,0,0,0,0,0,35,50,10,60,60,45,40,15,25,35
Luka Doncic,87,#77,Dallas Mavericks,G-F,02/28/99,6-7 / 2.01,227 lbs. / 103 kg.,"$7,683,360",Slovenia,2018,1,3,,Luka Doncic,95,88,92,98,87,98,92,40,65,94,50,31,52,98,84,84,79,70,98,95,85,84,86,88,94,86,48,82,80,68,82,82,68,75,47,74,80,78,85,75,95,0,80,5,50,15,20,60,25,20,5,55,0,32,60,15,19,66,40,45,40,20,99,20,60,5,20,0,15,0,0,20,15,5,5,50,0,0,0,50,55,65,65,75,50,35,25,10,5,10,75,15,55,35,60,70,0,0,5,5,15,25,99,10,0,25,10,5,55,0,6,67,63,0,0,35,25,0,0,0,65,30,55,56,20,51,68,25,45,30
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,07/19/85,6-11 / 2.11,246 lbs. / 111.6 kg.,"$26,000,000",USA,2006,1,2,Texas,LaMarcus Aldridge,96,96,87,50,89,98,80,90,75,84,94,94,94,78,73,73,80,92,98,90,84,67,70,55,35,70,90,37,85,73,69,84,76,74,84,76,85,89,94,25,95,40,85,85,95,65,5,10,15,35,30,25,53,32,65,13,8,79,99,68,73,0,0,48,99,25,20,6,10,2,4,4,35,10,25,25,40,0,30,70,55,55,55,50,0,0,0,0,0,0,0,0,75,60,96,99,25,0,1,15,23,45,3,99,60,60,40,30,93,35,50,75,35,40,40,40,25,25,15,28,37,25,0,55,70,68,70,73,48,25
Bradley Beal,87,#3,Washington Wizards,G,06/28/93,6-3 / 1.91,207 lbs. / 93.9 kg.,"$27,093,018",USA,2012,1,3,Florida,Bradley Beal,90,93,92,98,89,98,89,30,80,88,44,55,55,95,85,85,87,56,98,95,85,80,86,77,72,90,45,80,80,75,80,79,67,74,56,67,80,40,54,98,95,0,80,5,50,5,15,35,40,40,35,35,4,36,45,4,39,57,35,60,60,65,99,65,65,60,75,25,25,20,30,10,15,80,80,10,40,0,5,15,50,35,35,75,25,10,25,15,0,0,0,20,90,55,85,90,0,35,30,30,40,50,35,0,0,0,10,0,55,0,3,32,36,0,20,0,25,0,0,0,35,30,20,55,10,45,65,15,40,20
Mike Conley,87,#10,Utah Jazz,G,10/11/87,6-1 / 1.85,185 lbs. / 83.9 kg.,"$32,511,623",USA,2007,1,4,Ohio State,Mike Conley,95,93,92,60,90,95,95,25,80,84,29,25,40,95,95,95,95,40,98,95,83,95,91,90,71,91,31,95,95,87,96,95,76,95,35,84,95,36,49,25,95,0,80,0,25,5,30,70,60,60,45,85,20,31,40,7,21,72,10,55,55,75,80,45,40,55,50,60,45,10,10,15,10,65,65,15,65,25,25,25,50,30,35,95,80,30,45,40,20,35,75,60,50,35,75,90,0,75,35,35,45,55,60,0,0,0,0,0,10,2,0,26,14,0,20,0,0,0,0,0,65,50,45,75,60,50,60,15,45,25
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,08/07/89,6-6 / 1.98,220 lbs. / 99.8 kg.,"$27,739,975",USA,2009,1,9,USC,DeMar DeRozan,98,97,65,98,90,98,96,55,97,98,86,69,86,94,93,93,97,70,98,95,92,86,86,78,73,79,70,90,74,80,92,82,82,86,51,72,65,74,78,60,95,40,100,100,99,20,20,45,45,65,70,55,81,26,65,15,14,71,95,78,39,35,15,42,80,15,65,11,35,3,9,2,25,5,15,50,30,0,30,70,88,88,88,52,25,45,35,25,5,10,40,10,90,70,99,100,0,0,2,26,40,79,6,16,0,5,15,0,14,0,0,15,10,5,5,5,0,0,0,3,65,5,5,78,65,78,72,39,42,15
CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/91,6-3 / 1.91,197 lbs. / 89.4 kg.,"$27,556,959",USA,2013,1,10,Lehigh,C.J. McCollum,90,95,93,80,82,98,92,30,65,84,32,38,46,95,92,92,95,70,98,95,80,92,92,90,92,90,45,84,88,68,92,85,54,80,65,54,85,74,80,50,97,0,80,0,25,5,55,35,55,35,30,75,0,26,60,12,20,68,35,60,55,60,99,55,66,36,75,35,30,15,10,30,15,25,95,25,35,25,25,25,65,40,40,75,35,5,45,15,15,25,35,15,55,45,80,90,0,45,30,30,40,50,35,0,0,20,10,5,55,0,5,42,35,0,20,35,20,0,0,0,55,25,30,50,10,40,75,25,50,30
Victor Oladipo,87,#4,Indiana Pacers,G,05/04/92,6-4 / 1.93,213 lbs. / 96.6 kg.,"$21,000,000",USA,2013,1,2,Indiana,Victor Oladipo,90,92,90,98,73,95,86,35,85,75,40,41,53,84,93,92,97,66,98,85,84,90,79,75,72,82,48,95,95,90,96,97,84,95,47,92,95,35,68,40,95,25,100,100,50,5,65,55,50,45,30,60,28,38,30,4,27,69,40,50,45,65,85,45,30,30,35,5,20,0,5,25,15,45,45,20,45,10,10,30,60,45,55,75,15,0,0,0,0,5,25,0,35,55,90,90,55,0,20,20,30,40,55,0,0,0,0,0,55,0,4,14,8,5,20,0,25,0,0,0,50,25,5,65,40,45,90,20,50,65
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,08/02/95,7-3 / 2.21,220 lbs. / 99.8 kg.,"$27,285,000",Latvia,2015,1,4,,Kristaps Porzingis,88,86,92,90,95,95,75,90,75,95,85,87,85,95,77,76,75,75,95,75,80,69,65,50,45,40,80,62,85,72,68,68,75,58,70,88,80,88,90,50,95,70,95,50,50,10,15,20,0,0,0,35,55,27,85,17,21,62,35,55,45,55,75,35,45,15,25,5,30,15,5,15,35,75,75,5,55,0,20,50,50,35,45,75,0,0,0,0,0,0,0,0,99,75,95,90,25,40,15,15,25,35,20,75,5,55,10,10,45,30,20,40,37,50,0,55,10,5,10,20,25,5,0,45,40,35,60,65,65,20
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/96,6-4 / 1.93,193 lbs. / 87.5 kg.,"$27,285,000",USA,2015,1,2,Ohio State,D'Angelo Russell,92,93,87,97,88,98,89,25,45,88,60,54,65,95,79,79,71,54,88,85,82,79,86,85,88,88,40,72,70,64,73,79,70,78,40,70,65,46,72,95,94,0,35,0,25,5,65,60,60,45,35,75,0,23,60,11,16,73,25,55,55,80,85,50,20,26,45,10,40,15,15,15,15,5,60,30,30,25,50,25,35,30,35,25,60,30,60,30,0,30,40,25,90,35,90,90,0,25,25,25,35,45,30,5,0,0,0,0,55,8,6,31,10,0,20,0,0,0,0,0,70,35,20,80,0,55,37,17,55,99
Pascal Siakam,87,#43,Toronto Raptors,F,04/02/94,6-9 / 2.06,227 lbs. / 103 kg.,"$2,351,838",Cameroon,2016,1,27,New Mexico State,Pascal Siakam,96,87,94,98,90,90,90,90,85,92,81,70,69,95,90,89,85,70,95,95,82,86,86,65,65,75,95,91,88,83,95,82,75,85,85,76,90,94,94,25,98,95,95,95,95,20,25,30,0,0,0,5,0,55,30,5,57,38,0,25,10,30,70,0,36,0,0,0,0,0,0,0,5,0,0,50,0,0,0,0,20,50,75,95,0,0,0,0,0,0,0,0,99,95,45,80,99,0,5,5,15,25,99,5,0,15,5,0,70,36,46,18,0,15,0,0,40,0,0,0,10,25,0,55,0,50,65,60,70,45
Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/96,6-10 / 2.08,240 lbs. / 108.9 kg.,"$8,113,929",Australia,2016,1,1,LSU,Ben Simmons,98,94,77,98,84,98,98,90,97,98,84,92,92,98,97,97,98,88,98,97,86,94,92,95,90,95,84,95,95,85,95,97,85,97,89,86,95,89,90,50,99,85,100,100,100,15,20,90,45,45,55,55,35,64,50,11,0,89,0,40,30,0,0,0,25,0,35,0,0,0,0,10,20,55,55,15,0,0,15,35,90,65,75,25,55,10,25,5,10,0,55,15,50,50,65,75,99,0,5,5,15,25,60,60,0,25,10,5,75,30,30,30,30,30,25,0,30,30,0,20,50,52,65,55,10,55,70,30,55,50
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/97,6-3 / 1.91,171 lbs. / 77.6 kg.,"$6,392,760",USA,2017,1,5,Kentucky,De'Aaron Fox,97,94,89,80,90,95,97,25,90,92,27,25,30,95,99,99,90,66,98,90,80,99,95,92,84,92,54,95,95,77,97,96,64,95,56,64,95,37,57,25,97,0,95,95,85,5,60,60,55,55,40,55,0,35,55,13,19,68,30,40,35,25,65,25,30,20,35,20,5,0,0,12,1,5,5,0,0,0,15,25,65,75,75,75,60,25,40,10,15,15,35,5,45,45,70,80,0,15,5,5,15,25,60,0,0,0,0,0,10,0,5,20,25,0,20,0,0,0,0,0,55,45,40,55,20,45,85,15,60,40
Devin Booker,86,#1,Phoenix Suns,G,10/30/96,6-5 / 1.96,206 lbs. / 93.4 kg.,"$27,285,000",USA,2015,1,13,Kentucky,Devin Booker,94,97,98,98,95,98,95,40,85,92,70,54,69,98,93,93,94,74,98,98,81,93,90,92,85,94,68,84,80,68,84,80,58,84,65,58,80,74,84,25,99,0,80,80,25,5,15,45,30,20,30,25,0,31,65,13,21,66,30,60,55,75,99,60,46,60,65,10,50,15,10,30,0,5,75,25,45,10,10,30,35,40,40,20,30,15,20,15,0,0,0,0,75,60,95,95,0,40,25,25,35,45,30,15,0,35,10,0,45,2,6,39,34,5,20,0,20,0,0,0,40,10,45,55,20,35,40,15,65,10
